co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01
354494,ENGENHARIA CIVIL,UFPB,João Pessoa,PB,678.9,684.24
364156,ENGENHARIA CIVIL,UFPE,Caruaru,PE,680.67,684.55
364091,ENGENHARIA CIVIL,UFPE,Recife,PE,694.31,703.74
360974,ENGENHARIA CIVIL,UFPEL,Pelotas,RS,682.46,682.46
368101,ENGENHARIA CIVIL,UFPI,Teresina,PI,727.07,731.24
367124,ENGENHARIA CIVIL,UFPR,Pontal do Paraná,PR,734.94,735.92
367047,ENGENHARIA CIVIL,UFPR,Curitiba,PR,739.36,744.04
347386,ENGENHARIA CIVIL,UFRB,Cruz das Almas,BA,712.96,714.78
350175,ENGENHARIA CIVIL,UFRGS,Porto Alegre,RS,726.92,730.23
359114,ENGENHARIA CIVIL,UFRJ,Macaé,RJ,729.72,736.09
358946,ENGENHARIA CIVIL,UFRJ,Rio de Janeiro,RJ,760.69,762.72
367958,ENGENHARIA CIVIL,UFRN,Natal,RN,719.88,721.79
356405,ENGENHARIA CIVIL,UFRPE,Cabo de Santo Agostinho,PE,625.29,642.0
346025,ENGENHARIA CIVIL,UFRR,Boa Vista,RR,677.5,680.17
365184,ENGENHARIA CIVIL,UFS,São Cristóvão,SE,687.11,690.95
368371,ENGENHARIA CIVIL,UFSB,Teixeira de Freitas,BA,684.82,684.82
344248,ENGENHARIA CIVIL,UFSC,Florianópolis,SC,739.35,741.2
365676,ENGENHARIA CIVIL,UFSCAR,São Carlos,SP,764.86,767.27
363586,ENGENHARIA CIVIL,UFSJ,Ouro Branco,MG,640.24,647.07
363585,ENGENHARIA CIVIL,UFSJ,Ouro Branco,MG,665.79,670.6
361825,ENGENHARIA CIVIL,UFSM,Santa Maria,RS,732.21,732.55
367314,ENGENHARIA CIVIL,UFT,Palmas,TO,681.22,694.63
355091,ENGENHARIA CIVIL,UFTM,Uberaba,MG,724.03,727.11
362186,ENGENHARIA CIVIL,UFU,Uberlândia,MG,762.09,762.23
368652,ENGENHARIA CIVIL,UFV,Rio Paranaíba,MG,640.86,661.36
368609,ENGENHARIA CIVIL,UFV,Viçosa,MG,695.78,703.5
368401,ENGENHARIA CIVIL,UFVJM,Teófilo Otoni,MG,689.66,681.42
366723,ENGENHARIA CIVIL,UNEB,Salvador,BA,711.91,719.74
356471,ENGENHARIA CIVIL,UNEMAT,Tangará da Serra,MT,581.51,621.17
356455,ENGENHARIA CIVIL,UNEMAT,Sinop,MT,663.1,663.1
356475,ENGENHARIA CIVIL,UNEMAT,Nova Xavantina,MT,N/A,572.99
342889,ENGENHARIA CIVIL,UNIFAL-MG,Poços de Caldas,MG,693.48,693.48
363473,ENGENHARIA CIVIL,UNIFEI,Itajubá,MG,725.74,731.72
349771,ENGENHARIA CIVIL,UNIFESSPA,Santana do Araguaia,PA,638.24,655.78
349781,ENGENHARIA CIVIL,UNIFESSPA,Marabá,PA,698.8,700.41
345055,ENGENHARIA CIVIL,UNIMONTES,Montes Claros,MG,714.29,719.53
353504,ENGENHARIA CIVIL,UNIOESTE,Cascavel,PR,702.94,712.54
347025,ENGENHARIA CIVIL,UNIPAMPA,Alegrete,RS,706.22,722.38
361591,ENGENHARIA CIVIL,UNIVASF,Juazeiro,BA,670.98,670.98
353583,ENGENHARIA CIVIL,UPE,Recife,PE,663.12,669.2
353582,ENGENHARIA CIVIL,UPE,Recife,PE,676.9,680.28
364382,ENGENHARIA CIVIL,UTFPR,Pato Branco,PR,601.7,650.53
364399,ENGENHARIA CIVIL,UTFPR,Toledo,PR,628.14,659.4
364398,ENGENHARIA CIVIL,UTFPR,Campo Mourão,PR,632.78,651.86
364434,ENGENHARIA CIVIL,UTFPR,Apucarana,PR,659.52,664.21
364427,ENGENHARIA CIVIL,UTFPR,Guarapuava,PR,759.87,730.41
