co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01,nota_24_01
366813,EDUCAÇÃO FÍSICA,UNEB,Alagoinhas,BA,622.47,622.47,633.13,
366934,EDUCAÇÃO FÍSICA,UNEB,Teixeira de Freitas,BA,625.94,636.04,629.29,
366845,EDUCAÇÃO FÍSICA,UNEB,Jacobina,BA,631.13,635.94,643.99,
366794,EDUCAÇÃO FÍSICA,UNEB,Guanambi,BA,637.46,641.07,645.03,
356447,EDUCAÇÃO FÍSICA,UNEMAT,Diamantino,MT,497.39,536.41,552.51,
356453,EDUCAÇÃO FÍSICA,UNEMAT,Cáceres,MT,559.02,573.97,573.61,
367593,EDUCAÇÃO FÍSICA,UNESPAR,Paranavaí,PR,624.58,624.58,625.76,
345869,EDUCAÇÃO FÍSICA,UNICENTRO,Irati,PR,618.67,621.9,621.9,
345920,EDUCAÇÃO FÍSICA,UNICENTRO,Guarapuava,PR,654.82,720.52,685.5,
360687,EDUCAÇÃO FÍSICA,UNIFESP,Santos,SP,701.79,703.4,706.69,
345081,EDUCAÇÃO FÍSICA,UNIMONTES,Januária,MG,621.24,621.24,621.83,
345082,EDUCAÇÃO FÍSICA,UNIMONTES,Montes Claros,MG,633.07,639.81,640.17,
345053,EDUCAÇÃO FÍSICA,UNIMONTES,Montes Claros,MG,663.46,672.72,666.84,
345076,EDUCAÇÃO FÍSICA,UNIMONTES,Montes Claros,MG,666.11,675.39,675.2,
347035,EDUCAÇÃO FÍSICA,UNIPAMPA,Uruguaiana,RS,606.92,611.88,618.32,
