co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01,nota_23_01
368822,ENGENHARIA DA COMPUTAÇÃO,UFAM,Manaus,AM,750.01,752.54,752.69
361474,ENGENHARIA DA COMPUTAÇÃO,UFBA,Salvador,BA,778.95,780.67,778.89
366198,ENGENHARIA DA COMPUTAÇÃO,UFES,São Mateus,ES,745.03,743.52,747.94
364147,ENGENHARIA DA COMPUTAÇÃO,UFPE,Recife,PE,812.96,815.74,814.17
367972,ENGENHARIA DA COMPUTAÇÃO,UFRN,Natal,RN,756.22,758.35,759.33
361886,ENGENHARIA DA COMPUTAÇÃO,UFSM,Santa Maria,RS,799.26,774.91,788.44
353591,ENGENHARIA DA COMPUTAÇÃO,UPE,Recife,PE,745.08,747.92,743.42
364376,ENGENHARIA DA COMPUTAÇÃO,UTFPR,Pato Branco,PR,723.83,734.06,732.73
364351,ENGENHARIA DA COMPUTAÇÃO,UTFPR,Curitiba,PR,830.54,828.96,829.76
