co_oferta,curso,universidade,cidade,uf,nota_21_01,nota_22_01
349708,DIREITO,FURG,Rio Grande,RS,731.59,739.25
349698,DIREITO,FURG,Rio Grande,RS,739.47,741.74
362840,DIREITO,IFSEMG,Rio Pomba,MG,728.98,728.98
363006,DIREITO,UEAP,Macapá,AP,749.96,752.9
359269,DIREITO,UEFS,Feira de Santana,BA,736.34,738.08
344808,DIREITO,UEL,Londrina,PR,801.5,801.5
349443,DIREITO,UEM,Maringá,PR,760.32,761.48
349469,DIREITO,UEM,Maringá,PR,767.34,766.94
355959,DIREITO,UEMG,Guanhães,MG,700.6,711.1
355852,DIREITO,UEMG,Ituiutaba,MG,704.02,712.8
355926,DIREITO,UEMG,Frutal,MG,712.18,715.82
356008,DIREITO,UEMG,Cláudio,MG,714.22,717.76
355945,DIREITO,UEMG,Diamantina,MG,716.04,724.38
355929,DIREITO,UEMG,Ituiutaba,MG,717.22,718.78
355909,DIREITO,UEMG,Passos,MG,718.3,722.04
355894,DIREITO,UEMG,Passos,MG,727.08,727.08
355918,DIREITO,UEMG,Frutal,MG,727.9,731.3
355924,DIREITO,UEMG,Diamantina,MG,729.34,724.28
355880,DIREITO,UEMG,Araguari,MG,731.26,732.06
355912,DIREITO,UEMG,Belo Horizonte,MG,745.02,750.38
357028,DIREITO,UEMS,Paranaíba,MS,687.17,701.77
357118,DIREITO,UEMS,Bataguassu,MS,689.82,703.55
357103,DIREITO,UEMS,Jardim,MS,696.55,699.37
357043,DIREITO,UEMS,Naviraí,MS,696.67,704.88
357027,DIREITO,UEMS,Paranaíba,MS,697.08,703.25
357111,DIREITO,UEMS,Aquidauana,MS,697.32,708.46
357029,DIREITO,UEMS,Dourados,MS,711.37,721.1
357117,DIREITO,UEMS,Campo Grande,MS,741.77,741.99
351594,DIREITO,UENP,Jacarezinho,PR,748.7,748.7
351609,DIREITO,UENP,Jacarezinho,PR,750.0,750.0
349880,DIREITO,UEPB,Guarabira,PB,689.61,701.54
349876,DIREITO,UEPB,Guarabira,PB,695.19,705.48
349884,DIREITO,UEPB,Campina Grande,PB,724.59,726.7
349888,DIREITO,UEPB,João Pessoa,PB,728.05,733.39
349877,DIREITO,UEPB,Campina Grande,PB,732.26,732.26
346421,DIREITO,UERN,Mossoró,RN,728.49,728.25
346448,DIREITO,UERN,Natal,RN,728.68,731.9
346420,DIREITO,UERN,Mossoró,RN,730.77,734.22
346447,DIREITO,UERN,Natal,RN,737.56,737.16
357521,DIREITO,UESB,Vitória da Conquista,BA,741.74,748.9
357520,DIREITO,UESB,Vitória da Conquista,BA,747.63,753.51
348940,DIREITO,UESC,Ilhéus,BA,724.78,728.27
348968,DIREITO,UESC,Ilhéus,BA,735.53,735.53
363159,DIREITO,UESPI,Corrente,PI,673.28,683.97
363185,DIREITO,UESPI,Bom Jesus,PI,682.14,686.81
363174,DIREITO,UESPI,Floriano,PI,686.55,696.72
363158,DIREITO,UESPI,Piripiri,PI,689.68,688.34
363097,DIREITO,UESPI,Picos,PI,698.39,702.42
363098,DIREITO,UESPI,Teresina,PI,714.05,720.76
363101,DIREITO,UESPI,Parnaíba,PI,716.67,715.61
363100,DIREITO,UESPI,Teresina,PI,717.15,719.68
363099,DIREITO,UESPI,Teresina,PI,722.95,725.53
362552,DIREITO,UFAL,Maceió,AL,732.34,734.66
362551,DIREITO,UFAL,Maceió,AL,737.74,740.14
368771,DIREITO,UFAM,Manaus,AM,747.04,748.28
368770,DIREITO,UFAM,Manaus,AM,749.48,750.89
361446,DIREITO,UFBA,Salvador,BA,734.77,734.63
361447,DIREITO,UFBA,Salvador,BA,745.55,744.12
365598,DIREITO,UFC,Fortaleza,CE,769.84,770.06
365556,DIREITO,UFC,Fortaleza,CE,776.12,778.64
351784,DIREITO,UFCG,Sousa,PB,689.6,695.9
351730,DIREITO,UFCG,Sousa,PB,691.88,696.38
351767,DIREITO,UFCG,Sousa,PB,696.66,705.3
346948,DIREITO,UFERSA,Mossoró,RN,737.9,739.97
366083,DIREITO,UFES,Vitória,ES,752.94,753.04
354874,DIREITO,UFF,Niterói,RJ,720.31,721.81
354875,DIREITO,UFF,Niterói,RJ,734.57,734.57
354916,DIREITO,UFF,Macaé,RJ,737.03,745.17
354984,DIREITO,UFF,Volta Redonda,RJ,767.51,769.62
